title,year,source,score
Captain America: Brave New World,2025,IMDb,5.6
Captain America: Brave New World,2025,Rotten Tomatoes,46%
Captain America: Brave New World,2025,Metacritic,42/100
Captain America: Brave New World,2025,TMDB,5.971
Daredevil: Born Again,2025,IMDb,8.1
Daredevil: Born Again,2025,TMDB,8.183
Thunderbolts*,2025,IMDb,7.1
Thunderbolts*,2025,Rotten Tomatoes,88%
Thunderbolts*,2025,Metacritic,68/100
Thunderbolts*,2025,TMDB,7.3
Ironheart,2025,IMDb,4.5
Ironheart,2025,TMDB,5.311
The Fantastic Four: First Steps,2025,IMDb,6.8
The Fantastic Four: First Steps,2025,Metacritic,65/100
The Fantastic Four: First Steps,2025,TMDB,7.0
Eyes of Wakanda,2025,IMDb,6.2
Eyes of Wakanda,2025,TMDB,6.183
Marvel Zombies,2025,IMDb,7.0
Marvel Zombies,2025,TMDB,7.267
Venom: The Last Dance,2025,IMDb,
Venom: The Last Dance,2025,Rotten Tomatoes,
Venom: The Last Dance,2025,Metacritic,
Venom: The Last Dance,2025,TMDB,6.672
Kraven the Hunter,2025,IMDb,
Kraven the Hunter,2025,Rotten Tomatoes,
Kraven the Hunter,2025,Metacritic,
Kraven the Hunter,2025,TMDB,6.436
Wonder Man,2026,IMDb,7.4
Wonder Man,2026,TMDB,7.019
Daredevil: Born Again,2026,IMDb,7.8
Daredevil: Born Again,2026,TMDB,7.0
Spider-Man: Brand New Day,2026,TMDB,0.0
